	AveExpr	Coef.organs	Coef.stages	t.organs	t.stages	P.value.organs	P.value.stages	F	F.p.value
novel_gene_3880_5bd9a17a	2.2115963648635	0.502319856692329	0.70340556325834	0.585969745000537	0.820541678858827	0.567398825445649	0.425916676099571	0.508324594400228	0.612384432509254
novel_gene_3881_5bd9a17a	2.58980801946163	-0.795494793662889	0.945992973258671	-1.77180391730439	2.1070082030888	0.0985956350520946	0.0539980141049527	3.78938634462934	0.048911533605536
novel_gene_3882_5bd9a17a	3.16929671085922	1.28211438694517	0.25212266042898	3.3648098663571	0.661676387053847	0.00473492122513451	0.519123574613666	5.87988053895937	0.0142934951845926
novel_gene_3883_5bd9a17a	4.21829650234097	1.13082344114809	-0.712867830223827	2.94395802320361	-1.85586263240217	0.0108521060124088	0.085050324117444	6.05555747636582	0.0130110342288934
novel_gene_3886_5bd9a17a	4.63417720084192	0.520091325548998	0.157789849606925	1.98209322334976	0.601344756690809	0.0678390000424709	0.557403604410849	2.14515453122428	0.154611819711627
novel_gene_3887_5bd9a17a	3.48940765602584	0.0195906867794535	-0.101856487053734	0.0575111476456275	-0.299013686021253	0.954966153636988	0.769405139459735	0.0463583582657669	0.954848468713448
novel_gene_3888_5bd9a17a	8.12511697580813	0.401849046192974	-0.532327432325405	1.11016525552543	-1.47063039101238	0.285982274150292	0.163921954927139	1.69761032077254	0.219359826846639
novel_gene_3889_5bd9a17a	1.03534138617435	-0.370073729776315	0.0461498642963538	-0.477855188828507	0.0595906986725961	0.640267427063293	0.953339800898055	0.115948316429308	0.891383452634507
novel_gene_3890_5bd9a17a	2.40149658789462	-0.707073982837467	0.462808811919352	-1.50752576831216	0.986737210964153	0.154323821757024	0.340832464613784	1.62314213281324	0.232917774152762
novel_gene_3891_5bd9a17a	3.72993866282457	-0.898161991529027	0.168804135203788	-2.97940408243801	0.559961047452462	0.0101218709246651	0.58452174406728	4.59520253055617	0.0296477524334892
novel_gene_3892_5bd9a17a	2.44532567691564	-2.17175749579107	1.72688231629933	-4.89047933761727	3.88868568554533	0.000251762737875399	0.00169272203245278	19.5193322563133	9.65961646917842e-05
novel_gene_3894_5bd9a17a	2.14013362584691	-0.0247773302030204	0.335354562135328	-0.0545414499586717	0.738203992086548	0.957289022470485	0.472813505029091	0.273959951848055	0.76442014736145
novel_gene_3895_5bd9a17a	2.35602056988988	-0.257272118803123	-0.0472509399833274	-0.607878560294222	-0.111643785977422	0.553185034872462	0.912720636181087	0.190990339506374	0.828297145889828
novel_gene_3899_5bd9a17a	1.9095768190987	0.452662116574407	0.360899483361316	0.859481501352784	0.685249369097227	0.404823683717515	0.504585616792078	0.604137574507892	0.560440754758217
novel_gene_3900_5bd9a17a	1.24276613092111	-0.0591334002597283	0.628679297065253	-0.0874846536130357	0.930096870734103	0.931548691465206	0.368377280769515	0.436366876783582	0.6550349969617
novel_gene_3901_5bd9a17a	3.55189771767392	0.147443878684894	0.336438494918224	0.336980915986684	0.768925459652465	0.741224051283353	0.454954563573635	0.352401250120489	0.709170520607282
novel_gene_3902_5bd9a17a	3.12468440863504	-0.121910722618401	-0.158714563230323	-0.376073633785858	-0.489607158802567	0.712606020090856	0.63213722450782	0.190573273989811	0.828633332719873
novel_gene_3903_5bd9a17a	1.00820576816773	-1.32858198481195	0.679783038209438	-2.28531529856685	1.16930576711543	0.0387310234421003	0.26216925093926	3.29497099543655	0.0677805119791546
novel_gene_3915_5bd9a17a	2.24227001558194	-1.1222521980107	0.972218355383818	-2.52236363434229	2.18514896081926	0.0246606404266843	0.0467212652095573	5.56859714241096	0.0169387253961825
novel_gene_3916_5bd9a17a	1.19442077774155	-0.0443169549277873	-0.621499094431357	-0.0657987876918932	-0.922759405104156	0.948485961195451	0.372055603588005	0.427907200084949	0.660269199303289
novel_gene_392_5bd9a17a	1.28485410266613	1.23689783855709	0.647500616923112	1.93225743540063	1.01151270741624	0.0742155733697931	0.329255836164871	2.37838837696276	0.129729129578652
novel_gene_3924_5bd9a17a	1.59606434251301	0.201174859167882	-0.228954379695802	0.474006237668339	-0.539460072526905	0.642940740517586	0.598204760805683	0.257849541599614	0.776368730299152
novel_gene_3926_5bd9a17a	1.88613974742605	-1.16734568436908	-1.63554789285872	-1.41985826223712	-1.98933890796459	0.177942537520017	0.0669547116369708	2.98673338779238	0.0837478780042458
novel_gene_3929_5bd9a17a	2.83475966090246	1.24822579821448	-0.113651596384498	2.91904692403462	-0.265780713162914	0.0113961471967633	0.79435509512311	4.29573716610269	0.0355592848375239
novel_gene_3931_5bd9a17a	2.97986535969831	-0.323227673254701	0.31916803354736	-0.671115906522436	0.662686898093445	0.513273266377516	0.518495466368274	0.444775242446071	0.649879591261072
novel_gene_3933_5bd9a17a	2.5730175807816	-0.0568311099912167	0.166392952106368	-0.1494609968162	0.437599344599315	0.883361848412068	0.668477929300707	0.106915887981521	0.899341596549188
novel_gene_3934_5bd9a17a	0.28906045165982	-0.296106456030178	-0.863123454178561	-0.402469018268385	-1.17316067303936	0.6935314787448	0.26067142549873	0.769143637716039	0.482367870427472
novel_gene_3935_5bd9a17a	0.560977563074032	-0.163700207051257	0.802357991877328	-0.278982546444833	1.36740129879134	0.784413909072778	0.19345599987996	0.973808786578543	0.402250132111346
novel_gene_3936_5bd9a17a	1.61345125196995	-3.39114058990709	0.998355038847517	-4.93768256135267	1.45365847704091	0.00023078742043295	0.168502370315699	13.2469160222796	0.000623186762959603
